Season,Region,County,CDC Week,Week Ending Date,Age Group,Case Count,Hospitalization Count,Coordinate,FIPS
2023-2024,WESTERN,ALLEGANY,52,12/30/2023,0-4,5,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,52,12/30/2023,5-17,13,0,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,52,12/30/2023,18-49,11,1,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,52,12/30/2023,50-64,12,3,"(42.2478938, -78.0261758)",36003
2023-2024,WESTERN,ALLEGANY,52,12/30/2023,65+,9,3,"(42.2478938, -78.0261758)",36003
2023-2024,CENTRAL,BROOME,40,10/07/2023,5-17,1,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,40,10/07/2023,65+,2,1,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,41,10/14/2023,0-4,1,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,41,10/14/2023,18-49,1,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,42,10/21/2023,18-49,2,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,43,10/28/2023,18-49,1,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,44,11/04/2023,5-17,2,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,44,11/04/2023,18-49,2,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,44,11/04/2023,50-64,1,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,45,11/11/2023,5-17,3,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,45,11/11/2023,50-64,1,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,46,11/18/2023,0-4,1,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,46,11/18/2023,5-17,3,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,46,11/18/2023,18-49,1,1,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,46,11/18/2023,50-64,1,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,47,11/25/2023,0-4,8,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,47,11/25/2023,5-17,11,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,47,11/25/2023,18-49,2,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,47,11/25/2023,50-64,4,1,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,47,11/25/2023,65+,1,1,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,48,12/02/2023,0-4,5,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,48,12/02/2023,5-17,10,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,48,12/02/2023,18-49,5,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,48,12/02/2023,50-64,2,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,48,12/02/2023,65+,7,2,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,49,12/09/2023,0-4,5,0,"(42.1619773, -75.830291)",36007
