Season,Region,County,CDC Week,Week Ending Date,Count,Age Group
2020 - 2021,CAPITAL DISTRICT,CLINTON,7,02/20/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,7,02/20/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,7,02/20/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,8,02/27/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,8,02/27/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,8,02/27/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,8,02/27/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,8,02/27/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,9,03/06/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,9,03/06/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,9,03/06/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,9,03/06/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,9,03/06/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,10,03/13/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,10,03/13/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,10,03/13/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,10,03/13/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,10,03/13/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,11,03/20/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,11,03/20/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,11,03/20/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,11,03/20/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,11,03/20/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,12,03/27/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,12,03/27/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,12,03/27/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,12,03/27/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,12,03/27/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,13,04/03/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,13,04/03/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,13,04/03/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,13,04/03/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,13,04/03/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,14,04/10/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,14,04/10/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,14,04/10/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,14,04/10/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,14,04/10/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,15,04/17/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,15,04/17/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,15,04/17/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,15,04/17/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,15,04/17/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,16,04/24/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,16,04/24/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,16,04/24/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,16,04/24/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,16,04/24/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,17,05/01/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,17,05/01/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,17,05/01/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,17,05/01/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,17,05/01/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,18,05/08/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,18,05/08/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,18,05/08/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,18,05/08/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,18,05/08/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,19,05/15/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,19,05/15/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,19,05/15/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,19,05/15/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,19,05/15/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,CLINTON,20,05/22/2021,0,0-4
2020 - 2021,CAPITAL DISTRICT,CLINTON,20,05/22/2021,0,5-17
2020 - 2021,CAPITAL DISTRICT,CLINTON,20,05/22/2021,0,18-49
2020 - 2021,CAPITAL DISTRICT,CLINTON,20,05/22/2021,0,50-64
2020 - 2021,CAPITAL DISTRICT,CLINTON,20,05/22/2021,0,65+
2020 - 2021,CAPITAL DISTRICT,COLUMBIA,41,10/10/2020,0,0-4
2020 - 2021,CAPITAL DISTRICT,COLUMBIA,41,10/10/2020,0,5-17
